player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
César Azpilicueta Tanco,3957,-0.37596095,8.170679,0,0,0,0,0,0,0,1,87.3,8.2,94.9,5.2,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Diego da Silva Costa,5198,2.329174,10.469002,0,0,0,0,0,0,0,1,94.9,9.6,87.7,17.2,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Eden Hazard,3621,1.2013507,53.72495,1,0,0,0,0,0,1,0,85.8,20.5,105.2,70.6,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Willian Borges da Silva,3472,-2.4013898,14.085809,0,0,0,0,0,0,0,1,108.9,65.9,98.5,56.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Branislav Ivanović,5594,-0.35230872,7.2449985,0,0,0,0,0,0,0,1,98.5,56.4,105.3,53.9,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Willian Borges da Silva,3472,-1.5811765,28.901558,0,0,0,0,1,0,0,0,120.0,80.0,119.7,51.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
César Azpilicueta Tanco,3957,0.83903795,21.102133,0,0,0,0,0,0,0,1,57.3,0.1,71.4,15.8,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Eden Hazard,3621,-1.4229469,9.503683,0,0,0,0,0,0,0,1,78.2,15.0,79.6,5.6,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Diego da Silva Costa,5198,2.0159764,16.952286,1,0,0,0,0,0,0,1,70.4,10.6,63.1,25.9,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Ramires Santos do Nascimento,28100,-1.6396528,5.813777,0,0,0,0,0,0,0,1,63.1,25.9,62.7,20.1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Nemanja Matić,3381,2.3003242,31.657068,0,0,0,0,0,0,0,1,62.9,20.9,41.8,44.5,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Kurt Happy Zouma,3456,0.54182893,48.67135,0,0,0,0,0,0,0,1,45.2,48.6,86.9,73.7,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Willian Borges da Silva,3472,-1.9967598,24.927494,0,0,0,0,0,0,0,1,76.7,64.8,66.4,42.1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,-1.5707964,18.0,0,0,0,0,0,0,0,1,70.4,36.3,70.4,18.3,0,0,0,0,0,0,1,0,1,0,1,0,0,1
